"whichdata","allgenes","allprobes","pvalslog","pvalslogcorrected","pvalscox","pvalscoxcorrected","hazard"
"BRCA","CD40","cg19785066","0.170412638094909","0.491977517841569","0.175827977546879","0.517789156936297","1.7397642510553"
"BRCA","CD40","cg06571407","0.0689918212708909","0.325563815234124","0.0769389836857782","0.367114932300878","2.26834078306335"
"BRCA","CD40","cg16686951","0.65678219043592","0.869053010993476","0.657213569960335","0.871586845037691","1.20110847319611"
"BRCA","CD40","cg19839655","0.996651287124531","0.999564255680886","0.996651287533584","0.999410083779534","0.998278403202293"
"BRCA","CD40","cg09053081","0.75952332544438","0.9078417306643","0.759653318502148","0.90998868314059","1.12303411035029"
"BRCA","CD40","cg25239996","0.77007902432244","0.907915617060064","0.770224219310528","0.91197513384184","1.13330745219455"
"BRCA","CD86","cg16331599","0.18954388416361","0.517939683470329","0.194276122960362","0.536192765534326","0.57335949575969"
"BRCA","CDH2","cg15698842","0.369893809069513","0.697334409389229","0.371967310860539","0.70493804880828","1.38576134123415"
"BRCA","CLDN11","cg09543255","0.92518966811238","0.963739237617063","0.925193393732162","0.96545491797095","1.03565765621663"
"BRCA","CLDN11","cg11145160","0.582524140049725","0.833958388968262","0.583260852891794","0.836588851583251","1.24753271702616"
"BRCA","CLDN11","cg13879776","0.394635558030758","0.707424094348212","0.397015701275664","0.715526318477112","1.42200323200752"
"BRCA","CLDN11","cg05663573","0.251758704673607","0.581171862458718","0.255571630054631","0.593471670581406","0.643907894841336"
"BRCA","CLDN11","cg21884231","0.167726748209478","0.489760457782428","0.174889941784816","0.517621364224582","1.89009231698912"
"BRCA","CLDN11","cg05937737","0.0877065521119825","0.362870418068942","0.0965086752246419","0.399935980674109","2.2531997151167"
"BRCA","CLDN11","cg20924286","0.843616875491973","0.935139084397731","0.843649955118573","0.936945838624124","0.930376570073509"
"BRCA","CLDN11","cg21154627","0.365767205534531","0.692009815192163","0.368299456633661","0.701380650801543","1.42978521650912"
"BRCA","CLDN14","cg02417033","0.318190007971461","0.652483873239908","0.322039046109692","0.665019119822299","1.5522629577417"
"BRCA","CNTN1","cg14243778","0.577284935132915","0.832281961694693","0.577951345359619","0.835292534806337","1.23077594898262"
"BRCA","HLA-A","cg17608381","0.186015310426825","0.514277622944753","0.191961855164062","0.533227375455727","1.76355667643665"
"BRCA","HLA-A","cg11946459","0.165643433709529","0.489760457782428","0.173371511306752","0.517034329404655","1.97515815875441"
"BRCA","HLA-A","cg09803951","0.812153352508763","0.922901536941776","0.812238380464145","0.924786915741638","0.897914367084656"
"BRCA","HLA-C","cg25954539","0.746685081498784","0.906899752457517","0.74693184072201","0.907595566544324","1.17045961327472"
"BRCA","HLA-DMA","cg02806715","0.573108987749456","0.832281961694693","0.567131752304506","0.830095925552034","0.786439191993691"
"BRCA","HLA-DMA","cg24129356","0.558860897933009","0.819802191100231","0.559756891562233","0.824203443089754","0.79015108544974"
"BRCA","HLA-DOA","cg10397527","0.666339895158438","0.87578230068363","0.666712970693613","0.877253908807385","0.844000585451399"
"BRCA","HLA-DOA","cg11527772","0.816208807006837","0.926125360569101","0.816289331647708","0.927601513236032","0.900202244599881"
"BRCA","HLA-DPA1","cg00750366","0.964531454220474","0.980384479852125","0.964532140103457","0.981471827245418","0.978596671708967"
"BRCA","HLA-DPA1","cg00798281","0.74472924901808","0.906899752457517","0.744970623683564","0.907595566544324","0.856615971507903"
"BRCA","HLA-DPA1","cg12939283","0.101754872974672","0.392006477853246","0.108547064456606","0.426564550958233","0.502066792837673"
"BRCA","HLA-DPA1","cg09321817","0.418090540555936","0.727787237264037","0.419241316530754","0.732629870264053","0.736768718017809"
"BRCA","HLA-DPA1","cg01804934","0.67208291383813","0.879683001616906","0.671512743837842","0.879629290980451","0.833767384147719"
"BRCA","HLA-DPA1","cg02286081","0.513397151403411","0.790904016438662","0.507823015223629","0.791368757145575","0.767208460849214"
"BRCA","HLA-DQA2","cg17524162","0.7576381453705","0.9078417306643","0.75787232654529","0.90998868314059","1.1307461619355"
"BRCA","HLA-DRA","cg17606183","0.0588329336754268","0.300705730060583","0.0688692348857158","0.345817739276564","0.383772443057994"
"BRCA","HLA-DRA","cg20724257","0.613212836168262","0.846680472970279","0.613857492838804","0.851573263383228","1.23708562418663"
"BRCA","HLA-DRA","cg25258233","0.855418186241279","0.937608553016327","0.855450924710361","0.939397043490349","1.07733352780726"
"BRCA","HLA-DRA","cg00528492","0.267682084037501","0.602541089548014","0.272788320384561","0.616396685484345","0.599721916253098"
"BRCA","HLA-DRA","cg23732629","0.784390486084675","0.912533486286627","0.784511870584971","0.91428144285137","0.88909691262925"
"BRCA","HLA-DRA","cg19248557","0.407297183163632","0.717647476727939","0.409216923669511","0.726329131890749","0.723452945885777"
"BRCA","HLA-E","cg09326440","0.806635855414609","0.922901536941776","0.806691250289078","0.924380374609995","1.08789378915154"
"BRCA","HLA-E","cg09620840","0.220447876463508","0.54972111589462","0.22504578176681","0.568584752374914","1.63093156707278"
"BRCA","HLA-E","cg21176130","0.935146530253613","0.966400328098501","0.935149071280041","0.969814791486362","1.03126050856016"
"BRCA","ICAM2","cg24080793","0.273365297093813","0.611817569686153","0.276696148779574","0.620454150412213","1.50448082267527"
"BRCA","ICAM2","cg16047144","0.179859680489155","0.507260781382576","0.185199815924802","0.528179086678743","1.72250502982369"
"BRCA","ITGA4","cg25652029","0.613208955803645","0.846680472970279","0.613837999712772","0.851573263383228","1.22987652591215"
"BRCA","ITGA4","cg11947981","0.163664884592779","0.489760457782428","0.169245044886417","0.514076986937988","1.7723017460606"
"BRCA","ITGA9","cg13071386","0.0558000551445422","0.295338129706474","0.0622578502079395","0.334031844722963","2.23100055855583"
"BRCA","ITGB2","cg17648210","0.214457309005772","0.544249110327824","0.218869378957782","0.563151248686281","1.61950471735553"
"BRCA","ITGB7","cg11510999","0.219067739262104","0.548837086637467","0.223278374126785","0.568584752374914","1.605534776115"
"BRCA","ITGB7","cg04972065","0.832999996770381","0.929510917573787","0.833087565808497","0.93137763066126","1.08907556720433"
"BRCA","ITGB7","cg23029655","0.115407645158947","0.419826572946634","0.121726947663554","0.448683551361254","1.91623767046261"
"BRCA","MPZ","cg10896862","0.0809676282081136","0.352048936253828","0.0889835066645682","0.389705085487694","2.20178266814082"
"BRCA","NCAM2","cg14355482","0.82122288038214","0.926932645964471","0.821349557002168","0.929755038032319","0.905294000648913"
"BRCA","NLGN1","cg06304401","0.759485731202353","0.9078417306643","0.759610769282545","0.90998868314059","1.1205561729054"
"BRCA","NLGN1","cg13238990","0.566372736559016","0.826542055296095","0.567291087845347","0.830095925552034","1.28045618793384"
"BRCA","NLGN4X","cg17811446","0.0705463014594255","0.3315676168593","0.0760513827036304","0.367114932300878","1.97916422800269"
"BRCA","NRXN1","cg25717438","0.00625685420464099","0.089436423729226","0.00892887955719886","0.131142918496358","2.87592858447706"
"BRCA","NRXN1","cg18396357","0.313036663753127","0.648905566857134","0.315872811259783","0.659102301466986","1.46183537688619"
"BRCA","NRXN2","cg10940462","0.762074774156145","0.907915617060064","0.762234385863445","0.90998868314059","0.878197846551839"
"BRCA","NRXN2","cg24524285","0.00530920399123999","0.0819556137617475","0.00847917191117696","0.126114265767505","3.40491773621402"
"BRCA","PDCD1LG2","cg07211259","0.599707692770469","0.844816277863532","0.600487167159228","0.846482015920907","1.26041751453584"
"BRCA","PTPRM","cg24451800","0.80864775154955","0.922901536941776","0.808734489446021","0.924380374609995","1.11179779145239"
"BRCA","SDC2","cg24862252","0.108944409404997","0.40451534810923","0.114312124640922","0.43609333263988","1.89610067138241"
"BRCA","VCAM1","cg25762679","0.0738139822661931","0.33747637806528","0.0807199256315691","0.37488503010709","2.13685790580151"
"BRCA","VCAM1","cg27544046","0.116088206987409","0.419982174843931","0.125077071491815","0.454310720848045","2.15585407308163"
"BRCA","VCAN","cg02551029","0.264211777386414","0.598167318745734","0.267522444969314","0.608005556748442","1.50573307359641"
"BRCA","VCAN","cg05176349","0.430795402625324","0.733764688722591","0.432465278493975","0.740515399361929","1.34502409569953"
"BRCA","VCAN","cg15114672","0.0769120855928604","0.341025285175891","0.0836048642514132","0.378183219527214","2.10301708363552"
"BRCA","VCAN","cg21810188","0.554984917365756","0.815134097380954","0.556206249114851","0.82064652673271","1.31517641651184"
"BRCA","VCAN","cg02371408","0.198064263201647","0.53561921010987","0.203385016489886","0.555363170920503","1.70080131979579"
"CESC","CADM1","cg12848345","0.884770943838634","0.948561791264446","0.884797626415265","0.951599374173023","0.927674596826879"
"CESC","CADM1","cg17918227","0.206901308812878","0.537956827672723","0.213694787444136","0.557932770044304","1.86013840203456"
"CESC","CADM1","cg25195288","0.553493249197491","0.813960660584545","0.554492938681926","0.820565746790003","1.29162229208578"
"CESC","CADM1","cg26647139","0.332192277943544","0.666085198948233","0.336902967533064","0.680173516926719","1.65975944044851"
"CESC","CADM1","cg23034799","0.125943099345961","0.434217020165152","0.132867079234067","0.46725644320758","1.98230710386571"
"CESC","CADM1","cg10193817","0.257321428525896","0.587213057879369","0.262849879220544","0.601734532281559","1.70712982790395"
"CESC","CADM1","cg10553088","0.840022844070092","0.933800228743953","0.840079158100189","0.935633185561822","1.09724247309364"
"CESC","CADM1","cg02788102","0.6046366916236","0.844816277863532","0.60563540816765","0.848500005923042","1.29891814779861"
"CESC","CADM1","cg02642914","0.0938643162428067","0.375137998589449","0.102045317474906","0.413459475975913","2.40511735772264"
"CESC","CADM1","cg10043753","0.462247756208411","0.759732886503812","0.464495827601316","0.76547077217108","1.43563469139344"
"CESC","CADM1","cg14944514","0.2676282811623","0.602541089548014","0.272086922171326","0.615996403759745","1.63251145638532"
"CESC","CADM1","cg22207272","0.134681124447197","0.452143774929877","0.143334498111143","0.477237674270326","2.17101224761785"
"CESC","CADM3","cg03951219","0.899933880743948","0.951064297866056","0.899952455029747","0.952784781934138","0.933812055044456"
"CESC","CD28","cg22309950","0.329867100872018","0.664826489750636","0.336794207121417","0.680173516926719","0.555086005647852"
"CESC","CD40","cg01943874","0.0587671022050694","0.300705730060583","0.0680752838016297","0.343818319756142","2.52812663165281"
"CESC","CD40","cg19785066","0.0079746536528635","0.105283348787805","0.013499498789171","0.171487771492282","3.93707432254743"
"CESC","CDH2","cg14312538","0.141561652497323","0.455712168998232","0.152301856415333","0.490526456955568","2.28135246333277"
"CESC","CDH2","cg06090660","0.257374233879042","0.587213057879369","0.265009483512939","0.604633287626609","1.90230419842676"
"CESC","CDH2","cg12208258","0.0124574934867043","0.142112182979394","0.0187505764838059","0.213902207460892","3.61928961182489"
"CESC","CDH2","cg07635747","0.472159834851298","0.763119402957738","0.474220705254389","0.769119183913194","1.40413847670178"
"CESC","CDH2","cg12169536","0.912228350617823","0.954468666051596","0.912239916425742","0.956183676895849","1.0591837395423"
"CESC","CDH2","cg13464915","0.101132208736978","0.391149703558435","0.10944680993796","0.427521170608942","2.21644571354318"
"CESC","CDH2","cg13845439","0.223873502655272","0.550893806953766","0.230182869392225","0.568782330381575","1.79687659639069"
"CESC","CDH2","cg09313439","0.338806134945207","0.674741031458675","0.342183860250641","0.683336075759725","1.52825595066475"
"CESC","CLDN1","cg03623835","0.467352345342754","0.761930359650472","0.470282688649666","0.766838653417055","0.667904109235788"
"CESC","CLDN1","cg25330387","0.567645487872887","0.826542055296095","0.569233224439185","0.830333525418039","0.727619257990103"
"CESC","CLDN1","cg00804587","0.792193199181427","0.916168315982457","0.792404244154084","0.917315258010885","1.17357795203403"
"CESC","CLDN11","cg21474897","0.425483123223254","0.731980482851132","0.428805921337862","0.738778530164205","0.658569462387929"
"CESC","CLDN11","cg13333304","0.817799687813272","0.926125360569101","0.813479519140333","0.92530342206185","1.1300243283708"
"CESC","CLDN11","cg21389743","0.282052101078936","0.622235097997179","0.290042155006402","0.635820022635302","0.528523105435138"
"CESC","CNTN1","cg08990926","0.0503343432325934","0.280297882930319","0.0586956121227317","0.325317661529291","2.69124635914743"
"CESC","CNTN1","cg15087347","0.702058883087148","0.892548502226628","0.702511855731855","0.893913699987968","1.21968283193436"
"CESC","CNTN1","cg02622052","0.112440404936679","0.412867111876867","0.120554357410381","0.446849747499047","2.22047049069912"
"CESC","CNTN1","cg14243778","0.34030004798996","0.676316529062643","0.341484589878433","0.683336075759725","1.53869546717977"
"CESC","CNTN1","cg23500059","0.081798906833647","0.35335924827035","0.0898809175890766","0.389705085487694","2.26203060447098"
"CESC","CNTN1","cg27352992","0.0548575561049704","0.292341072624944","0.0626716664738377","0.334200657776561","2.57222528914467"
"CESC","CNTN1","cg14436862","0.52623247624174","0.799900594545983","0.527795853148115","0.804358141957244","1.36297737236277"
"CESC","HLA-A","cg11946459","0.0811959674253511","0.352048936253828","0.090538402148759","0.391112582811735","0.421483306605156"
"CESC","HLA-C","cg11187245","0.828478263764793","0.929355839400862","0.828598947847168","0.930821820591804","0.87709180876208"
"CESC","HLA-C","cg23923934","0.392829245164812","0.707424094348212","0.396926991375815","0.715526318477112","0.632561306085731"
"CESC","HLA-DMB","cg20600379","0.0670983699086647","0.317905583236617","0.0806332454725381","0.37488503010709","0.34254750132217"
"CESC","HLA-DPA1","cg12939283","0.35377575657289","0.685596443285588","0.359321264674574","0.696941639569385","0.581451987500111"
"CESC","HLA-E","cg21366673","0.0057412908140446","0.0843252088312801","0.0265858944820547","0.237058730942755","0.0950265315193967"
"CESC","HLA-E","cg00340855","0.549783867862589","0.813133708555719","0.551594620041957","0.820404802668671","0.717738169006088"
"CESC","HLA-E","cg21758773","0.331636742341554","0.666085198948233","0.339116424642364","0.683336075759725","0.537773418732758"
"CESC","HLA-E","cg05201185","0.195397417445863","0.530235486140623","0.206511240379532","0.555363170920503","0.46091752339306"
"CESC","HLA-E","cg11594821","0.144899175411429","0.462653617142469","0.157405449975279","0.501223316316945","0.419499760415031"
"CESC","ICAM2","cg24080793","0.749601402327188","0.906899752457517","0.745770042489565","0.907595566544324","0.850099438877141"
"CESC","ICAM2","cg16047144","0.700997124325884","0.892385288280513","0.701430747448848","0.893913699987968","0.825400986508517"
"CESC","ITGA4","cg25652029","0.146277671057656","0.462978309311774","0.153834289877986","0.493866914225776","1.97627762991793"
"CESC","ITGA4","cg11947981","0.503987428938228","0.785205196643174","0.506027845232328","0.789618483596263","1.41734926158626"
"CESC","ITGA4","cg25024074","0.934122955674999","0.966400328098501","0.939097413509303","0.971337553585766","0.96209533495373"
"CESC","ITGA4","cg10526659","0.0216877866340508","0.187866983973836","0.0292385006267619","0.248951001713371","3.23801379618332"
"CESC","L1CAM","cg06300944","0.0827116722561029","0.354694214966865","0.0934885286484843","0.393724090186269","2.58755214673522"
"CESC","NCAM1","cg10980774","0.225446752084537","0.551517041798514","0.232353632836728","0.568782330381575","1.82963971269408"
"CESC","NEGR1","cg05352161","0.464777109863781","0.760603209038917","0.467371335845482","0.766838653417055","1.45830663612138"
"CESC","NLGN4X","cg21142738","0.710147252971703","0.892548502226628","0.710566294288308","0.893913699987968","1.21258634396153"
"CESC","NRCAM","cg17583077","0.810465244942564","0.922901536941776","0.810561641116826","0.924786915741638","1.12078836081191"
"CESC","NRXN2","cg17236169","0.706372498575127","0.892548502226628","0.706715247764405","0.893913699987968","0.840629340810157"
"CESC","NRXN2","cg24524285","0.535595108014221","0.805670732184439","0.537574746592201","0.811248435259347","0.708209154327685"
"CESC","NRXN3","cg04272011","0.283731134598646","0.623147818978335","0.288583945326172","0.635820022635302","1.66066892007395"
"CESC","NRXN3","cg22892860","0.200056159684244","0.53561921010987","0.208128529767732","0.555797778357011","1.95243705393901"
"CESC","PTPRM","cg23316787","0.511424800051925","0.790904016438662","0.513573646050179","0.795785183417016","1.42524484457291"
"CESC","PTPRM","cg25705486","0.336868169923709","0.672020542717077","0.340924152965082","0.683336075759725","1.57300586796795"
"CESC","PTPRM","cg01946574","0.364904198925405","0.692009815192163","0.36810287444924","0.701380650801543","1.50177056123756"
"CESC","PTPRM","cg02996413","0.319140298017527","0.653292421899991","0.323531264791496","0.66692848443861","1.60112177693762"
"CESC","PTPRM","cg24451800","0.427649429080613","0.732550527242137","0.430155743904082","0.738937133168562","1.43784078117416"
"CESC","SDC2","cg25664438","0.0402482846523444","0.251551779077152","0.0500297082056632","0.304585011096654","2.95988929446424"
"CESC","SDC2","cg13096260","0.751216844581258","0.906899752457517","0.751465357072228","0.909266127303441","1.1720922273171"
"CESC","SDC2","cg04261408","0.696295527306263","0.888677266698662","0.696669893919957","0.891707108230882","1.19842626869663"
"CESC","VCAN","cg19814134","0.0776343444078865","0.341649268461673","0.0841368621040668","0.378777061196469","2.13403341496844"
"CESC","VCAN","cg02551029","0.0215831723318705","0.187866983973836","0.0285333396511255","0.244950447127117","3.0160623977658"
"CESC","VCAN","cg05176349","0.310351232125859","0.648905566857134","0.314484399808394","0.659102301466986","1.59937890615087"
"CESC","VCAN","cg19540689","0.0325696947015889","0.233347176960208","0.039667470411049","0.285946489159402","2.80745187394621"
"CESC","VCAN","cg00328900","0.907655735287136","0.953079078608029","0.907665342583437","0.954795682663866","1.05232790302023"
"CESC","VCAN","cg00567749","0.394854841601787","0.707424094348212","0.398258904071516","0.715526318477112","1.53393418070766"
"CESC","VCAN","cg17771652","0.852317021582394","0.935821870899482","0.852360680506592","0.937650714100327","1.09183137105257"
"CESC","VCAN","cg07478641","0.805417707452564","0.922901536941776","0.805537776101281","0.924323131756841","1.1328077729082"
"CESC","VCAN","cg23936023","0.378362633071499","0.703443186485778","0.3815110503637","0.711548387583091","1.49784206430726"
"CESC","VCAN","cg02371408","0.0462095527277932","0.267469085985995","0.0549857609199415","0.318267335374046","2.67917606182784"
"COAD","CADM1","cg10553088","0.883313837547618","0.948561791264446","0.883345139658973","0.951357047753706","0.921058050816837"
"COAD","CADM1","cg02788102","0.416263094655572","0.726759489183206","0.41923367421917","0.732629870264053","1.49411443811413"
"COAD","CADM1","cg02642914","0.687338372318332","0.886045530282685","0.687763728469243","0.887762925391089","1.20597611014419"
"COAD","CADM1","cg10043753","0.468877458264883","0.761930359650472","0.470942296235961","0.766838653417055","1.39847519796783"
"COAD","CD40","cg22232207","0.0388520587791937","0.251551779077152","0.04983917651366","0.304585011096654","0.28498593895848"
"COAD","CD40","cg11841529","0.264050149739339","0.598167318745734","0.270601748264279","0.613816706970132","0.557685474313518"
"COAD","CD40","cg17929951","0.961752316920355","0.979458777825305","0.961753617616999","0.981159926251257","1.02971220703574"
"COAD","CD40","cg01943874","0.167172897799593","0.489760457782428","0.182081644998647","0.523095190399537","0.397005356934887"
"COAD","CD40","cg19785066","0.870380959317211","0.944319138686725","0.870420426141307","0.946109158849247","0.915782610669323"
"COAD","CD40","cg06571407","0.46230554370232","0.759732886503812","0.465289831558006","0.76547077217108","0.644176385021761"
"COAD","CD40","cg09053081","0.549308203979315","0.813133708555719","0.551573973509676","0.820404802668671","0.680231009678788"
"COAD","CD6","cg26427109","0.0381522078654246","0.251551779077152","0.0494141342928897","0.304585011096654","3.2353708217953"
"COAD","CDH2","cg07635747","0.84600242273599","0.935139084397731","0.851435341650531","0.937650714100327","1.0900827255415"
"COAD","CLDN1","cg25330387","0.642946827584738","0.866356103683564","0.643648734674073","0.86860581183759","1.26910644352623"
"COAD","CLDN1","cg00804587","0.313131452262123","0.648905566857134","0.31678825844203","0.659102301466986","1.5507759188393"
"COAD","CLDN11","cg11145160","0.959794333345158","0.979458777825305","0.95979532569387","0.981159926251257","0.975730774518243"
"COAD","CLDN11","cg05663573","0.729959038029206","0.902844073351913","0.730215962270462","0.905748322652669","1.16812929301288"
"COAD","CLDN15","cg24809529","0.608064120228422","0.845532948246622","0.615392803646346","0.85269639656186","0.80554723261271"
"COAD","CLDN5","cg09092054","0.388287890809034","0.707424094348212","0.391264026209824","0.715526318477112","1.48123189636401"
"COAD","CLDN5","cg00811132","0.576702222388751","0.832281961694693","0.577678335147129","0.835292534806337","1.2857822069533"
"COAD","CNTNAP2","cg07028533","0.652966139713385","0.869053010993476","0.653612619000147","0.871586845037691","1.24900586867145"
"COAD","CNTNAP2","cg23708361","0.859157030835842","0.940828994624524","0.859204530798025","0.942638023984761","1.09694855732287"
"COAD","HLA-A","cg17608381","0.191704149875174","0.522627322745543","0.200741671986146","0.549816933761588","0.495478042393296"
"COAD","HLA-A","cg11946459","0.345833456965239","0.679522260759459","0.350412027437963","0.690829080938936","0.615817007770451"
"COAD","HLA-C","cg17096289","0.011716695287432","0.137671169627326","0.0209751153629017","0.220051433494727","0.218534229214243"
"COAD","HLA-DPA1","cg12939283","0.823774259710808","0.928920110518425","0.830213845089541","0.930821820591804","1.10155813335342"
"COAD","HLA-DPA1","cg01804934","0.0923962900410824","0.375137998589449","0.1044958195261","0.417627850146829","2.28850588347549"
"COAD","HLA-E","cg21758773","0.76389914208091","0.907915617060064","0.764120780576486","0.90998868314059","0.85490159156454"
"COAD","ITGA6","cg01044293","0.377822173100738","0.703443186485778","0.381152514767304","0.711548387583091","0.657002746397511"
"COAD","ITGA9","cg25870420","0.77281092050715","0.907915617060064","0.773044453877849","0.91197513384184","1.1747276445874"
"COAD","ITGA9","cg08198176","0.00464130568657763","0.0768103405877285","0.00929858429689729","0.133080168787149","4.73218673114991"
"COAD","ITGA9","cg20751361","0.86678781773218","0.942969840772418","0.866830754405495","0.944829440098754","1.09448551829095"
"COAD","ITGA9","cg13071386","0.364283380867069","0.692009815192163","0.364080320501163","0.69787010862784","1.54249370302002"
"COAD","ITGB8","cg26529437","0.575567299888224","0.832281961694693","0.570609467541024","0.830813041339162","1.2930276947752"
"COAD","JAM2","cg06716684","0.786540679234613","0.914129869535777","0.786681407719731","0.914828859057767","1.13754940271479"
"COAD","JAM2","cg16532755","0.538256616821093","0.805670732184439","0.539729127485296","0.812012451722437","1.34601773681298"
"COAD","JAM2","cg14553600","0.162738164902077","0.489760457782428","0.177391847619616","0.519207372758887","0.400804016106018"
"COAD","JAM2","cg22627390","0.20019204823992","0.53561921010987","0.211181551268937","0.557883739880598","2.15145063309664"
"COAD","JAM2","cg02485200","0.61235814569205","0.846680472970279","0.613360826255871","0.851573263383228","0.763546300433494"
"COAD","JAM2","cg09704750","0.576125281036644","0.832281961694693","0.577246996698573","0.835292534806337","1.31486893520785"
"COAD","JAM2","cg04964944","0.093787347974921","0.375137998589449","0.104113090853274","0.417627850146829","2.38107459842518"
"COAD","JAM2","cg06479755","0.344632566113827","0.679522260759459","0.348726053293097","0.689820054914796","1.57414164294237"
"COAD","MPZ","cg10896862","0.689984391666942","0.886045530282685","0.686090575727736","0.887762925391089","0.821556363921209"
"COAD","MPZ","cg13210580","0.123228684816404","0.433514085806211","0.135567515302536","0.468505383766118","0.413386455636112"
"COAD","NCAM1","cg20268522","0.108110363179611","0.404382635341366","0.11608070315259","0.437432021995115","2.19721800692244"
"COAD","NCAM1","cg02126412","0.310607099688489","0.648905566857134","0.315294569110715","0.659102301466986","1.62744903342015"
"COAD","NCAM1","cg13692433","0.122568264746621","0.432602820499472","0.13021491916558","0.463644030362291","2.16943029329476"
"COAD","NCAM2","cg15681537","0.595635316636728","0.842203967566974","0.596773129932579","0.846482015920907","0.760062699594018"
"COAD","NFASC","cg24085946","0.985668374230389","0.994983109725693","0.985668416235838","0.997374175671658","0.991419336361755"
"COAD","NLGN4X","cg01679167","0.925057548650315","0.963739237617063","0.925062304757309","0.96545491797095","1.04069032208505"
"COAD","NRXN2","cg11892836","0.274346888570124","0.612847137015011","0.281583133020292","0.627818180832719","0.537293786253167"
"COAD","NRXN2","cg22187354","0.206731559652854","0.537956827672723","0.213266729327025","0.557932770044304","1.81182251995846"
"COAD","NRXN2","cg27017482","0.398767340038881","0.709926703857099","0.402267455065584","0.720043479750967","1.5316134251786"
"COAD","NRXN3","cg13833923","0.302716297122146","0.644455952021888","0.308746706973253","0.657205399807195","1.75569684900505"
"COAD","SDC2","cg04261408","0.493513221769186","0.776275817374556","0.495370599309493","0.780241895695247","0.722986233470803"
"ESCA","CADM1","cg17918227","0.225769954983051","0.551517041798514","0.230794548336841","0.568782330381575","1.70107203305173"
"ESCA","CADM1","cg19697530","0.0974249168006981","0.384495425333306","0.103938443475531","0.417627850146829","2.14704049572592"
"ESCA","CADM1","cg25195288","0.00881212339763614","0.111335967658306","0.0123410335534975","0.162929375565838","3.15309025000698"
"ESCA","CADM1","cg26647139","0.424955992622912","0.731980482851132","0.427879559698904","0.738265025912205","1.5012736937286"
"ESCA","CADM1","cg23034799","0.301144657040293","0.643354494586081","0.29639246030292","0.64373593503869","1.69264747524976"
